id,'name_city','id_state'
1,Aguascalientes,1
2,Asientos,1
3,Calvillo,1
4,Cosio,1
5,El Llano,1
6,Jesus Maria,1
7,Pabellon de Arteaga,1
8,Rincon de Romos,1
9,San Francisco de los Romos,1
10,San Jose de Gracia,1
11,Tepezcala,1
12,Ensenada,2
13,Mexicali,2
14,Playas de Rosarito,2
15,Tecate,2
16,Tijuana,2
17,Comondu,3
18,La Paz,3
19,Loreto,3
20,Los Cabos,3
21,Mulege,3
22,Calakmul,4
23,Calkini,4
24,Campeche,4
25,Candelaria,4
26,Carmen,4
29,Champoton,4
30,Escarcega,4
31,Hecelchakan,4
32,Hopelchen,4
33,Palizada,4
34,Tenabo,4
35,Abasolo,5
36,Acuna,5
37,Allende,5
38,Arteaga,5
39,Candela,5
40,Castanos,5
41,Cuatro Cienegas,5
42,Escobedo,5
43,Francisco I. Madero,5
44,Frontera,5
45,General Cepeda,5
46,Guerrero,5
49,Hidalgo,5
50,Jimenez,5
51,Juarez,5
52,Lamadrid,5
53,Matamoros,5
54,Monclova,5
55,Morelos,5
56,Muzquiz,5
57,Nadadores,5
58,Nava,5
59,Ocampo,5
60,Parras,5
61,Piedras Negras,5
62,Progreso,5
63,Ramos Arizpe,5
64,Sabinas,5
65,Sacramento,5
66,Saltillo,5
67,San Buenaventura,5
68,San Juan de Sabinas,5
69,San Pedro,5
70,Sierra Mojada,5
71,Torreon,5
72,Viesca,5
73,Villa Union,5
74,Zaragoza,5
75,Armeria,6"
76,Colima,6
77,Comala,6
78,Coquimatlan,6
79,Cuauhtemoc,6
80,Ixtlahuacan,6
81,Manzanillo,6
82,Minatitlan,6
83,Tecoman,6
84,Villa de Alvarez,6
85,Acacoyagua,7
86,Acala,7
87,Acapetahua,7
88,Aldama,7
89,Altamirano,7
90,Amatenango de la Frontera,7
91,Amatenango del Valle,7
92,Amatan,7
93,Angel Albino Corzo,7
94,Arriaga,7
95,Bejucal de Ocampo,7
96,Bella Vista,7
97,Benemerito de las Americas,7
98,Berriozabal,7
99,Bochil,7
100,Cacahoatan,7
101,Capitan Luis Angel Vidal,7
102,Catazaja,7
103,Chalchihuitan,7
104,Chamula,7
105,Chanal,7
106,Chapultenango,7
107,Chenalho,7
108,Chiapa de Corzo,7
109,Chiapilla,7
110,Chicoasen,7
111,Chicomuselo,7
112,Chilon,7
113,Cintalapa,7
114,Coapilla,7
115,Comitan de Dominguez,7
116,Copainala,7
117,El Bosque,7
118,El Parral,7
119,El Porvenir,7
120,Emiliano Zapata,7
121,Escuintla,7
122,Francisco Leon,7
123,Frontera Comalapa,7
124,Frontera Hidalgo,7
125,Huehuetan,7
126,Huitiupan,7
127,Huixtla,7
128,Huixtan,7
129,Ixhuatan,7
130,Ixtacomitan,7
131,Ixtapa,7
132,Ixtapangajoya,7
133,Jiquipilas,7
134,Jitotol,7
135,Juarez,7
136,La Concordia,7
137,La Grandeza,7
138,La Independencia,7
139,La Libertad,7
140,La Trinitaria,7
141,Larrainzar,7
142,Las Margaritas,7
143,Las Rosas,7
144,Mapastepec,7
145,Maravilla Tenejapa,7
146,Marques de Comillas,7
147,Mazapa de Madero,7
148,Mazatan,7
149,Metapa,7
150,Mezcalapa,7
151,Mitontic,7
152,Montecristo de Guerrero,7
153,Motozintla,7
154,Nicolas Ruiz,7
155,Ocosingo,7
156,Ocotepec,7
157,Ocozocoautla de Espinosa,7
158,Ostuacan,7
159,Osumacinta,7
160,Oxchuc,7
161,Palenque,7
162,Pantelho,7
163,Pantepec,7
164,Pichucalco,7
165,Pijijiapan,7
166,Pueblo Nuevo Solistahuacan,7
167,Rayon,7
168,Reforma,7
169,Rincon Chamula San Pedro,7
170,Sabanilla,7
171,Salto de Agua,7
172,San Andres Durazna,7
173,San Cristobal de las Casas,7
174,San Fernando,7
175,San Juan Cancuc,7
176,San Lucas,7
177,Santiago el Pinar,7
178,Siltepec,7
179,Simojovel,7
180,Sitala,7
181,Socoltenango,7
182,Solosuchiapa,7
183,Soyalo,7
184,Suchiapa,7
185,Suchiate,7
186,Sunuapa,7
187,Tapachula,7
188,Tapalapa,7
189,Tapilula,7
190,Tecpatan,7
191,Tenejapa,7
192,Teopisca,7
193,Tila,7
194,Tonala,7
195,Totolapa,7
196,Tumbala,7
197,Tuxtla Chico,7
198,Tuxtla Gutierrez,7
199,Tuzantan,7
200,Tzimol,7
201,Union Juarez,7
202,Venustiano Carranza,7
203,Villa Comaltitlan,7
204,Villa Corzo,7
205,Villaflores,7
206,Yajalon,7
